text,stars,date,vehicle
So many nice features with this model. V 6 engine with turbo - very nice smooth ride. Luxurious for the price point. This is my 3rd jeep and I am pleasantly surprised on all the nice options with this model. Highly recommend. ,5,08/30/2022,2023 Jeep Cherokee
Very spacious and good gas mileage ,5,08/30/2021,2023 Jeep Cherokee
The car was squeaky clean and went through two inspections before it got to me. Exactly what I wanted!,5,08/28/2023,2022 Jeep Wrangler
"I leased a wrangler 2dr willys wheeler with the turbo 4 cyl engine. The jeep is amazing, thought the ride might be coppy with short wheel base. But ride is pretty smooth, going over rough roads it can get coppy. But on hyway it is smooth, engine is very powerful. It gets up and moves with the turbo, 8 speed trans very smooth hardly feel it shift. Seats very comfortable and good leg room up front, haven't tried the back seat. Screen in front of driver has many views and lots of information available. Backup camera very good with lines telling your track and color coded to let you know when to stop. Over all a lot of fun to drive, gas milage 16-18 in town. Haven't been on road trip yet to check hyway milage.",5,08/28/2021,2022 Jeep Wrangler
"I love my Wrangler, it's my second one and can't imagine not having one.",5,08/28/2021,2022 Jeep Wrangler
Push button start stops working around 17k miles. ,2,08/28/2021,2023 Jeep Renegade
I love my new Jeep. Lane assist is a little freaky to get used to but otherwise its fun to drive and saving me tons of gas money.,5,08/26/2021,2023 Jeep Renegade
"I love the highup feeling in the Jeep as we ride. Grips the road well, smooth ride, smooth engine . Handles well n love the small steering wheel. I don’t really favor the engine when it stops n starts when I stop.",5,08/25/2023,2023 Jeep Cherokee
This is my third Jeep and decided to go with a Jeep Rubicon Xtreme Recon and it is amazing!,5,08/24/2022,2022 Jeep Wrangler
"Bought this Jeep last August 2021and it has already died on us twice. First time it happened was December last year while my son was driving on the highway the engine just died-all electronics and mechanical- just completely dead, thankfully my son was able to get it on the shoulder and nothing happened to him. Then this past weekend it went dead again despite being charged over nght and being used everyday. The door wouldn't open with the key fob and the engine wouldn't start at all. I gave it a jumpstart and the hybrid battery was charged 99% and the car battery readout was 12.2. We drove it to the jeep dealership where we bought it and it's been there for days and they still can't figure out what's wrong. If I can just give this back I will, It's a nice toy but not worth the hassle and the danger. ",1,08/24/2022,2024 Jeep Wrangler 4xe
I love this car! Best investment so far,5,08/24/2022,2024 Jeep Wrangler 4xe
"Looks outside and inside. Like design, car has plenty of pep.",5,08/23/2023,2024 Jeep Compass
"Similar to other reviews, this “electric hybrid” car is a complete disaster. It lurches forward and stutters often while driving as the engine is trying to decide whether to use gas or electric- the service department tells me this is normal. Are you kidding me? For a $65K car? Additionally the battery is used up on my 30 minute round trip commute to the office. Complete joke. I’m buying a BMW as soon as this lease is up…",1,08/22/2023,2023 Jeep Grand Cherokee 4xe
Wow Fantastic vehicle. Did not have the issues others posted about. Currently 5000+ miles on her. Very hesitant after reading posts here but our family is so glad we did. We traded in a 2021 BMW M50i which was a nightmare to get into the third row. Hit the wrong button and you’re in a Major waiting game. Jeeps system is much better. V8 is a must. We drove the six cylinder and it’s underwhelming at best. Love the night vision for deer in PA. McIntosh system is terrific. Massage seats are so much better than the BMW and Mercedes we owned before it. Ours is fully loaded with exception of rear entertainment and high alt pkg. Factory running boards look and work great. Wireless charging of iPhone works great. BMW’s was dismal. We get many compliments on this Summit reserve model. The only thing we miss are heated and cooled cup holders & soft close doors. Would love to see the hybrid power train next in this vehicle. Highly recommend. ,5,08/22/2023,2024 Jeep Grand Cherokee L
"I am glad I didn't go by ""expert"" review, test drove and took this car! I had 2021 Compass leased and received promotional offer from dealer to turn it it 5 months in advance with no penalty, if I lease newer Jeep. I am so happy that I took the offer! This newer Compass is such an improvement compared to 2021 model. Engine is a lot more powerful, I drove 100 mph in a short stretch of remote highway, and I didn't even feel the speed. Transmission shifts just fine, in fact it is much better than the older Compass. I don't know what car was tested by review writers who complain of quick shift to upper gear, may be they drove defective models, or need the electronic adjustment of transmission. I always felt the 2021 Compass was too sluggish and had to sometimes switch to 'manual' mode to keep it in lower gear long enough before shifting. This newer Jeep has no such issue! It will shift slow if you push accelerator, literally telling car to 'accelerate'. Now, if you touch gas pedal too slightly then it will read this as your desire to save on gas and upshift earlier, but it's UP TO YOU how you want it to go. So, you have a control and the car is very responsive. I like the large infotainment screen, which isn't confusing at all. It took me less than a minute to get used to it and intuitively figure how to use it. Interior materials are top notch. I have a Lux with leather seats, with optional panoramic sunroof, Alpine sound system with 9 speakers. LED lights, automatic high-beams, wireless Carplay, automatic collision warnings and breaks, blind-spot detection, this car has everything to make a comfortable and safe ride. Don't listen to 'expert' reviews, take it for a test drive, compare to other compact SUV's and make your own decision! I would highly recommend it to my friends and relatives. ",5,08/20/2023,2024 Jeep Compass
Love the size for my Granchildren and hauling chairs and sports equipment. It was important to me to get the cold weather package because I travel a lot and have a bad back and fibro. My grandkids said blue so I now own a gorgeous shade of blue with black trim rather than the neutral route. The Apps in the car is definitely loaded. Smooth ride. Love my Jeep Cherokee. I chose it over a nrand new Compass!! Good luck,5,08/19/2023,2023 Jeep Cherokee
Black interior hard to keep clean the back hatch has a raddle I can't stop when you first start driving this is my 6 jeep wrangler no better vehicle to tow behind an RV ,4,08/18/2023,2022 Jeep Wrangler
It is so much fun to drive…we love it !!,4,08/18/2023,2022 Jeep Wrangler
Great vehicle with the new 4 cyl turbo,5,08/15/2022,2022 Jeep Wrangler
We love driving. parking. and knowing the size of this vehicle while holding 4 normal sized people. This is by far the best vehicle to buy and resale in this country! ,5,08/14/2022,2022 Jeep Wrangler
Small gas tank,4,08/14/2021,2023 Jeep Renegade
"This vehicle is absolute trash! Would not recommend. A little over 6k miles and it will be headed to the shop yet again. Of course appointments are several weeks out. Steer clear of this trash box. I’ve owned BMW’s, Lexus and Acura vehicles. Having a plug in is great in theory, but FCA needs to figure out how to build a great vehicle. ",1,07/31/2022,2024 Jeep Wrangler 4xe
"I love this Jeep! I have owned to Wranglers in the past (1997 & 2001) and I love this just as much! The moonroof is great, I love all the new tech, the seats are very comfortable, is very great off-road, has surprising acceleration with a 1.3L engine and a 9 speed auto transmission. The Kenwood sound system is incredible as well. Exactly what I wanted! ",5,07/28/2023,2023 Jeep Renegade
"I've wanted a Jeep for 12 years. When I learned that this Jeep was a plug in hybrid, I decided this was the one. I decided to buy it because it was advertised as getting 56 mpg. I've had it nearly 3 months now. I do not get 56 mpg. I get closer to 40. That being said, it is the nicest vehicle I've ever owned. I went from an anemic Prius to a Jeep. Now I can actually accelerate uphill. The leather seats feel luxurious and the ground clearance allows me to go in new places. Until a recent software update the media/control touch screen was glitchy. After 3 months I am still discovering small details that turn the car into a joy. an expensive joy, but a joy none the less.",4,07/27/2023,2023 Jeep Grand Cherokee 4xe
This is a fun little card to tool around town in. Is very quiet and composed and has plenty of power. ,5,07/26/2022,2023 Jeep Cherokee
"I love this vehicle. I’ve had the jeep 12 days, done daily in-town and highway driving and still have a half tank of fuel. Definitely take a test drive to experience the max gen when you take your foot off the gas and the turbo when you get on the highway. To understand and get the most out of this PHEV, pre-purchase research is essential regarding the different modes and how to avoid potential problems. My only complaint is that there are more wind sounds on the highway than I like so I just turn up the sound system…which is awesome.",5,07/25/2023,2024 Jeep Wrangler 4xe
"I currently own my 5 th jeep in the last 23 years! Have loved most of them.. Some of them have had some minor issues- leak from back seat a/c ( corrected in the next years models), a/c leak in front (corrected in next year model), and current one, leak from radio fin on roof ( my brother the mechanic fixed it- needed additional better glue). My only horrible experience - similar to one posted by someone else was in 2016, I traded my v8 jeep for a new, blue one with V6. It was leaking oil from the day I brought it home! After about 10 trips to their "" so called service department"" I had had enough! They had put in a new transmission and then wanted to put in a new motor! I refused and filed a lemon law claim. Worked directly with Chrysler and fought with this awful dealer (Collierville Chrysler/Jeep) for over 6 months! They finally were directed by corporate Chrysler to GIVE me a new identical jeep. By then, it was December 2016 and the 2017 had arrived. They had no 2016 with the same equipment. They tried to make me pay an additional $2000 for some additional equipment on the new one. I refused and demanded the new one at no additional cost- due to the ridiculous amount of time I had spent trying to get it fixed and time it was out of service, and time spent trying to get them to do the right thing. Chrysler told the dealer to give me the 2017 at no additional cost. I've been driving it since 12/16 and it has been great! Have 80,000 miles and I plan to trade it soon, Possibly for another jeep. But am looking around at other similar vehicles. ",5,07/25/2023,2024 Jeep Grand Cherokee L
"What a POS. I couldn't wait to ditch it for so many reasons. Engine is weak, engine starts and stops at lights providing little confidence that it will restart. Sport mode shifters backwards from most other mfgrs. Android Auto that constantly froze. Just a poor 3 day experience.",1,07/25/2020,2023 Jeep Renegade
"We had the previous body style (2021) Jeep Grand Cherokee and we loved it. But now that our kids are in more sports we needed more room. We bought a 2023 Jeep Grand Cherokee L Altitude and we are more in love with the vehicle. It has really cool features, a great ride, reliable engine, and captains seats! The 3rd row is extremely easy to get to and to fold down. The extra luggage capacity is awesome. Our whole family loves the new Jeep and the design is very stylish. My wife loves how comfortable the seats are and how much space the vehicle has. I love everything about this vehicle.",5,07/23/2023,2024 Jeep Grand Cherokee L
"this jeep fits my needs perfectly,1.4wd works great in the snow,8""ground clearance helps alot it also gets me to my favorite fishing spot over dirt and rocks.2.the size makes it easy to get around in,parking and in and out of traffic.fuel mileage is fine for me 2.4l engine i get 28-30 hiway and 25-27 in town.this renegade is the latitude has kenwood stereo,removeable roof panels.towing package which it pulls my 17ft crestliner just fine thanks to the 9 speed auto..i currently have 14020 miles on stubby and no problems.happy camper",5,07/23/2022,2023 Jeep Renegade
Owned every kind of Jeep in my life! Bought this 2021 Jeep Cherokee Latitude Lux in Sangria with sky gray interior. Smooth operation and powerful. Love this better than any other!!!!,5,07/23/2021,2023 Jeep Cherokee
This is our 4th jeep. We keep coming back to jeeps because they are well made and the body styles are very attractive.,5,07/22/2022,2023 Jeep Cherokee
"Bought for my wife and glad I did. Got the Sahara Unlimited and really like the 8.4 Nav screen and also how well it pairs with my phone. Had mine built and added the LSD. Don't know why, I don't go 4 wheeling, but felt it might help in winter driving conditions. I know it's a gas gussler, but we love the vehicle. Gonna keep it. Got it for $3K under MSRP. Just in time before the shortage....",5,07/22/2022,2022 Jeep Wrangler
This 2020 Jeep Renegade that I purchased with 11 miles. I was never told that this vehicle needed a software upgrade when I purchased it. This vehicle would not turn off during the first 30 days of me having the vehicle. The start button was like jelly. The windows on the vehicle there's air in the windows the car uses a lot of gas. The vehicle also drives very roughly. I was told when I took the vehicle in that in order for me to be comfortable I would have to undo the battery wait 5 minutes and then I could probably start the car at that point in time. And we must remember this was a brand new car a 2020 with 11 miles on it when I purchased it I am not a happy customer. So when my attorneys try to get Chrysler to do the buyback they refuse to do that. So they did do the software upgrade and they told me that if and when it happens again bring it back. So I am driving a vehicle that I am not comfortable with and making large payments this is unacceptable. I will never own another Chrysler Jeep Dodge or Fiat vehicle in my life and I will tell everybody else that I know not to own one,1,07/20/2021,2023 Jeep Renegade
Ac vents only in the front. This does not work in Tx heat. My kids are sweating in the back and I’m freezing up front. This car does not come with a spare!!! I guess I’m not used to that not being a standard feature. Not even a donut? I got a flat within the first few months and had to get the vehicle towed because I didn’t have a spare! Low acceleration and hard shifting and already have an electrical short in my running lights.Also the carpeting in this car is the worst I’ve ever seen It’s like Velcro for dirt. Even using professional vacuums does not get it very clean and if you have a dog that ever rides in your car I’d advice having covers or you will never get the hair out!!!Over all not super happy to pay that much and already have this many problems. If I did it over I would not buy this vehicle. ,3,07/19/2021,2023 Jeep Renegade
Great SUV at a good price.,5,07/16/2023,2024 Jeep Compass
Great ride!,5,07/16/2023,2024 Jeep Compass
I like everything about this car,5,07/16/2023,2023 Jeep Grand Cherokee 4xe
"Awesome vehicle. everything I expected. Handling, appearance, technology beats expectations.",5,07/16/2021,2022 Jeep Wrangler
"Simply don’t, don’t get this version of this plug-in Jeep…. there are way better choices (I hope) …. this car is way over its weight limit; hence the battery life is so short, don’t try to keep up with real life highway traffic …. this car, is a joke …. stay away",2,07/14/2023,2023 Jeep Grand Cherokee 4xe
Versatile and fun. This vehicle can go anywhere I want to go and enjoy every minute of the experience. It has proven to be very dependable. From driving with the top and doors off having fun in the sun to exploring the trails of the country side. You will have a smile on your face making all around you only to dream they were having this much fun.,5,07/14/2021,2022 Jeep Wrangler
When I first bought the Compass trailhawk I was very excited. It was my first new car purchase and I loved the look of it. After getting it off the lot I realized that the odometer doesn't work and resets every time I entered the vehicle. That was the first issue. After 11k miles it began to every month start stalling I believe from either the engine consuming too much oil or the auto start/stop feature on the car. Unfortunately it spent 82 days in the shop for the first 18 months of ownership which lead to a lemon law. After not much deliberation at all Jeep agreed to buy back my car so as of this week I no longer own a Jeep. I honestly don't think I'll ever buy a Jeep again,1,07/13/2023,2024 Jeep Compass
Love the Jeep and confidence it gives me driving on the road small and mobile but yet big and confident feeling,5,07/13/2022,2022 Jeep Wrangler
Love vehicle so far rides great everything sorta wraps around like a glove. i don’t drive much like 2000 miles a year but this vehicle will make it that much more appealing. ,5,06/30/2023,2024 Jeep Grand Cherokee L
"The first one I bought had to be returned. It was an electrical system nightmare. The first 2k miles of lights going out on the dash. Alert systems alerting at ghosts...ect... The SECOND one (that's right, they gave me a brand new one because the first was such a nightmare), it has been in for service 6 times in the 1st 25k. Similar electronic issues. Glitches, engine lights coming on, screens going out, ect... I would recommend NOT ever buying this vehicle. They are very shiny and cool looking with lots of bells and whistles, however they are not reliable. ",1,06/26/2023,2024 Jeep Grand Cherokee L
"Fast, cute, and luxury!!!",5,06/26/2022,2023 Jeep Cherokee
Very very happy with this Jeep. Very reliable car and I feel very safe driving it. It handles very well in the snowy Adirondacks of N,5,06/23/2023,2024 Jeep Grand Cherokee L
"The GC 4xe is an amazing plug in hybrid that can tow 6000# (in the pricier trims). But don’t expect to get a hitch on the base model. To tow 6000# with the base, you have to order a $600+ tow “prep” package which does not include a hitch or wiring, which will cost another $2000 or so for 2” receiver, wiring harness and installation (you practically have to disassemble all the base trim to install). So get a Trailhawk or Overland if you’re going to tow. The 26 mile electric range is great for running errands or commuting and will increase the mileage if the gas motor is only used sparingly. The technology is amazing and will tell you anything short of Santa’s arrival time. It handles very well, cruises the highway with ease, and absorbs bumps well. The 4x4 system is reassuring, and interior adjusts well for your comfort. If you have Yakima rack components, you’ll want to get their landing pad #19 to attach to the 4xe roof rails, then you can use control towers and anothers to carry crossbars and stuff. Oh, the radio manual is almost as thick as the owner’s manual ??. I’m very satisfied with my Overland so far! Update: Starting with a fully charged battery, I recently got 27mpg on a 200 mile trip, driving 75mph on the Interstate along with about 25 miles of 62mph on State roads in Wisconsin. Not bad for a truck with 375hp that can tow 6000#! Update 2: On a recent Wisconsin camping trip towing a 4000# travel trailer for a combination of 777 miles, 508 miles gas and 269 miles electric(recharging for local sightseeing, etc.), I averaged 18.2mpg driving 56-58mph State Hwy and 68-71 Interstate. Very satisfied with that compared with 11-12 with my old Tahoe! Incidentally, someone mentioned the lack of a 4xe tachometer, but there is a lineal one across the bottom of several heads-up display screens(1. Driver Info for one), when the engine is running. It is also referred to in the Hybrid Supplement manual page 31",4,06/20/2023,2023 Jeep Grand Cherokee 4xe
"Its been 4 after my car purchase and I absolutely LOVE my JEEP..... I've been seriously looking for over a year so when I saw it on Edmunds I made an appointment to see it the very next day. Since there is a limited supply of cars I was open to travel. I traveled 120 miles to get it. The car meets all expectations. I purchased the 2021 Jeep Wrangler, Unlimited Sahara, 6 speed manual transmission. The clutch placement needs a bit getting use to, it's not like other manual transmissions. After reading Jeep forums and talking to dealerships Jeep is aware of this. What also made my car search longer was I wanted the Sky One Touch top. It was definitely worth it and makes the open air experience so much easier. It's a perfect alternative if you don't have the storage space for the hard top. I'm so glad I didn't compromise this option in my car search. ",5,06/18/2022,2022 Jeep Wrangler
"This is my fifth grand Cherokee and my first plug-in hybrid""2022"" 4xE base model"" The ride is so smooth that it will put you to sleep, it is worth every dollar,test drive one and you'll know why. Also a ton of airbags for safety features.",5,06/17/2023,2023 Jeep Grand Cherokee 4xe
"Love my Jeep, very roomy and just what I wanted! ",5,06/16/2022,2022 Jeep Wrangler
"Love the car, beautiful inside and out...BUT the transmission is awful, it feels like its falling on the ground when it shift from 1st to 2nd at a low speed getting reading to take it in, they may have to replace my trans, U-Connect never works or turns it off the sound on my radio if I play it to long (2 Hours)?? I have been a jeep owner since 2000, love the look but not the mechanic of the car, poorly made, and I didn't get my monies worth on this 2022 Jeep Compass Limited 4x4",2,06/14/2023,2024 Jeep Compass
"Aggressive tires, heated seats and steering wheel, very nice upgrades from Jeep as I've owned others.",5,06/14/2021,2022 Jeep Wrangler
"Lessons learned summary: Test the car on the expressway 1-2 hours. Drain the battery and drive on a 4 cylinder for a while on highway speeds. Check the roof for blistering paint. Look up the Jeep 4xe hybrid/ev/e-save and compare to standard mixed mode. Check KWh efficiency compared to other PHEVs or EVs. Look up FORM. Wow. What a bad experience as a first time Jeep buyer. Check engine light at 150 miles. Transmission jarred the car and I had to pull over and restart at one point. I've had it for a day. Issue with ""performance limited service fuel system"" which is on multiple forums for the 4xe, supposedly can be ignored, been around since 2022 models, and can actually stall you out mid drive. This happened to me! Couldn't accelerate beyond 50mph on the expressway. Unsafe to drive. Have to have it towed. Extremely limited and inefficient battery. I burned through 50% battery in ~8 miles in Hybrid mode, express way, constant speed. Apparently there's no true ""mixed"" mode for the EV and ICE. You have no choice, all 3 modes (hybrid, ev, esave) use both, and Chrysler has determined you want to use up battery always first. That means good luck having acceleration when you're using a 4 cylinder under-powered ICE when battery runs out. Look up FORM as well with the 4xe, and decide for yourself if there's times you would like to drive for an hour before EV mode is available. Happened to me in 60 degree weather. Also discovered a substantial strip of peeling paint and rust on the roof. Do some research on body shops and Jeeps coming off the line - tons of claims coming in. The Uconnect entertainment system is overly complex and doesn't provide shortcut buttons for common functions. HCAV could use actual knobs instead of switches, placement of certain controls don't make sense. Multiple touchscreen buttons to get to the front and rear camera. Hard to find Android Auto settings. Paddle shifters right next to radio controls on steering wheel. Below average storage space in the mid console area. These are all minor inconveniences eventually you will get used to, but just adds to an overall substandard experience for a 65k MSRP vehicle.",1,05/31/2023,2023 Jeep Grand Cherokee 4xe
"I love the smoothness of the car. It’s good on gas and I don’t spend too much money on gas. It is packed with technology I love the big navigation screen, the leather seats are just the best I love it. I love fact that it has a heated steering wheel my hands will not be freezing in winter and the different driving modes the car has is great I can drive it in snow, muddy road and rocks all I have to do is put it on the drive mode that I want isn’t that great I did not regret buying this car because It have all the qualities I was looking for in a luxury car and this car have it all packed with luxury. Keyless entry, remote entry I can heat up my car in the winter while in my house getting ready for work. Oh I love this car. So if you are looking for a with all this qualities and more look no further than the 2022 Jeep Compass models. ",5,05/31/2022,2024 Jeep Compass
Battery should provide you with more miles . If you had 50 miles of electric this car would be a home run ,4,05/25/2023,2023 Jeep Grand Cherokee 4xe
Wrangler will never be outdated for its classic design.,5,05/24/2022,2022 Jeep Wrangler
"Purchased this Jeep 12/31/2020 have less than 4000 miles since new. approx 5 weeks ago, the one touch Sky top would not close (3rd time to use) Took the unit in for repair it has now been in service for 5 weeks, still not fixed. I escalated to customer care 4 weeks ago. Last week I requested the unit be re-purchased as a lemon, since I no longer have any faith in the Jeep nor the ability for Chrysler to fix issues that may arise.",1,05/24/2021,2022 Jeep Wrangler
I love my new renegade. Perfect transition from a patriot.,5,05/21/2021,2023 Jeep Renegade
"I have had the Jeep Cherokee Limited for a few weeks now. We traded in the Durango which is a bit larger but surprisingly, not that much larger. I'm surprised the Cherokee is considered compact. It is pretty spacious in the back. The second row seats are plenty big enough for any adult. And the driver's compartment isn't cramped at all (I'm 5' 10"" and 225#'s). The limited with the luxury package has more options than anything I have ever owned including the RAM Laramie. This vehicle rides smoothly and has excellent power and acceleration with the V6. We are getting above the rated average gas mileage for around town driving. While this is the most expensive vehicle we have owned, we got 84 months with zero interest from Chrysler which made our monthly payments some of the lowest we have had.",5,05/20/2021,2023 Jeep Cherokee
We had a 6 cylinder and new one is a 4 cylinder turbo. Like the 6 better. Bought a latitude lux. Nicer than limited We had. ,5,05/19/2021,2023 Jeep Cherokee
Very smooth ride. Great overall performance. Good gas mileage. Plenty of head and leg room. Awesome stereo system and plenty of apps to enjoy.,5,05/17/2022,2024 Jeep Compass
"I love this little Jeep. It is fully loaded with everything I need and then some. The gas mileage isnt the best but I dont drive a Jeep for the gas mileage I drive it for pleasure. This thing has plenty of spunk especially on the top end.... I have no issues passing slow moving vehicles. The engine has an idle that is rock solid!... it is so quite in fact that sometimes when I come to a stop I have to wonder if the engine is still running. This things is pretty sweet off road too. Check out some of the YouTube vids out there...This is not a toy....All of the new features like lane departure , auto headlights and rain sensing wipers.. love love love them. Apple car play.... sweet.. cant say enough good things about this ride",5,05/13/2021,2023 Jeep Renegade
Best vehicle I’ve purchased n excellent price,5,04/29/2021,2023 Jeep Renegade
Complete electrical failure at 9K miles. Stranded on interstate twice 200+ miles from home. Weak dealer response. No courtesy car or loaner given. Can’t drive anymore so will sell or lemon-sue. ,1,04/26/2023,2024 Jeep Grand Cherokee L
"When the Jeep Wrangler Unlimited (4-door version) was released in 2007 I knew it was in my future. Extended wheel base for smoother on-road travel and extra cargo/human capacity moved if from a fun thing to have to something more practical for every day use. Watching the Wrangler Unlimited evolve over the past 15 years only underscored what I already knew: it was the ultimate go anywhere, do anything vehicle. True: you're trading some other things for the security of knowing this guy will get you down any road and back again safely. But as the Wrangler evolves the gap between what you're giving up and what you're getting shrinks, making it a solid choice for your all around car. Assuming, of course - you want a Jeep. And the improvements made to the Wrangler JL from the previous JK series (2007 up until 2018) are nothing short of jaw dropping. The JL is equipped with all the modern tech you expect in a contemporary car: countless safety features, backup camera, easy smart phone pairing, keyless entry, etc. The tech in the modern JL Wrangler is on par with most vehicles. What it adds to the equation though is its unique spin on how the whole package comes together. The Wrangler is a more solid a vehicle than many others on the road. It is built with a predisposition for sturdy dependability. It is not a light weight, slippery, injection-molded plastic car designed to last until your loan is paid off, then move on to the next one. It is designed to be safe, dependable, viable for many years. If you're looking for an ultimate vehicle that will literally take you any place you can think of - and bring you home safely - there's no need to look beyond the Jeep Wrangler Unlimited. ",5,04/25/2021,2022 Jeep Wrangler
"I purchased a 2022 4xe July 2022 for my daughter and 8 months later the car died. Dealer replaced radio and battery and stated it was a glitch in the radio. Two days after I got the Jeep back it died again. Dealer again replaced radio and battery stating there was a short in the radio. Three weeks later the car died while driving on the road. Completely shut down! Thank goodness she was able to move to the shoulder. Towed to dealer again. Initiated Lemon law case. This is now a safety issue and dangerous on the road. Three times within a 5 week period at the dealer for repair. First time buying a Jeep and the last!! If I could rate it a ""zero"" I would. ",1,04/24/2023,2024 Jeep Wrangler 4xe
I love this car for the get up and go plus it’s luxurious with great interface screen,5,04/24/2021,2023 Jeep Renegade
Love my Renegade! It is my second one and I have no issues with it.,5,04/23/2021,2023 Jeep Renegade
This car is amazing. It drives like a heavy duty truck. I wonder if the soft top will look as new in 6 years. The technology is much improved. ,5,04/22/2022,2022 Jeep Wrangler
"I am not normally someone who writes reviews about a product. However, my experience with Jeep has been a disaster. I paid a premium for 4XE Sahara. My gripe is that the car constantly says “oil refresh in progress” and that electric mode is unavailable. This began approximately 1 year into my lease. I brought the vehicle to Jeep to get the problem looked at. I was told it is a known problem and they are working on a fix. This was over 4 months ago. I then tried to lemon law the car but Jeep says it is not a mechanical problem and closed my case. They are unreceptive and unwilling to stand behind their product. Do not buy a Jeep. ",3,04/21/2023,2024 Jeep Wrangler 4xe
I Bought the 2023 jeep grand Cherokee limited L for a month! Now both driver side and passenger side panel is making knocking noise in local street! One of my door lock button is broken! Found a screw halfway in! screen froze twice already! I mean come on jeep! A 53 thousand car such bad quality! And my local dealer don’t want to service me! Wth ,2,04/20/2023,2024 Jeep Grand Cherokee L
"I bought my 2022 Snazberry Wrangler Unlimited in January 2022 and I am very happy with the overall performance, styling, rugged feel and utility of the Jeep Wrangler. I have the V-6 engine with Automatic Transmission with the premium soft top and upgraded stereo with 8"" video screen. The Jeep has all the creature comforts and more anyone could ask for. I really like the acceleration along with the visibility of traffic around me. I even think the gas mileage is good for the power it delivers. I have 2100 miles on it and i m averaging 21-22 miles per gallon. The Jeep came with Michelin tires and they handle very nicely. I really only have 1 complaint I have about the Jeep and it has to do with the soft top. The soft top is quite easy to put up and take down. However, the side and back curtains when taken down do not afford much 'flex' when it comes to folding them up to keep in the Jeep. Also, the Jeep does not really provide a compartment for the back and side curtains. The curtains have an edge to them and I don't want to put a crease or bend the edges so it is a bit difficult to place them properly in the Jeep when taken off so they do not sustain any damage. There is a slight rattle in the upper passenger side when the top is up that is a bit annoying. I have placed a towel along side the frame to absorb some of the rattle and has been effective. Otherwise, trying to pinpoint that rattle has been difficult, It is a small nuisance and really something I probably should not notice, but I do notice. It does not, however, lessen my appeal for the Jeep, as it is a very quality vehicle and one I am happy to own. I have personalized my Jeep by placing some nice side steps from Extreme Terrain, Smitty Built seat covers and a patriotic tire cover on the back. So far, very pleased with the Jeep and I have received many praises from people who have seen the Jeep.",4,04/19/2022,2022 Jeep Wrangler
"Not sure why this SUV receives such mediocre reviews from the car mags. It handles very well, precise steering, comfortable ride, no squeaks or rattles, and great visibility. With the 2.4 engine the acceleration is reasonable. Only complaint is no adaptive cruise control. This is only offered on the most expensive line.",5,04/19/2022,2023 Jeep Renegade
"One issue with locking axles that was rectified under warranty, no other mechanical issues in two years so pretty good for a Jeep. Bought for the wife who loves it. Needless to say it doesn't do any hard core off roading but it's capable. I've had Jeeps forever starting with an old, used CJ. Most have been mechanical nightmares but I had a 2004 Wrangler Sport that was my daily driver for nearly 18 years and it was great. This 2021 so far has been great too. Very reliable except for a slow leaking tire from day one. Even the cheap electronics have held up so far such as the screen and all its functions. I'm 6'2"" 320 pounds and it's miserable for me to drive long distances because it's just not designed for big/fat people. Very uncomfortable as a passenger too but everybody else is fine with it as they are all considerably smaller than I am. Its rough riding too but that should be expected since it's a Rubicon designed for off road. Bought this to replace our original Hummer H3. A Hummer exceeds a Jeep in about every category in my opinion and I say that having owned both. The Hummer is far more comfortable, rides and drives better and is all wheel drive so it outperforms in bad weather situations. That said, I have no regrets buying the Rubicon. Just looking forward to the day I get to abuse it off road after it's served it's usefulness as the wife's daily driver.",5,04/18/2023,2022 Jeep Wrangler
"So exciting drive, handsome body, Muscular type and make me real man",4,04/18/2023,2023 Jeep Grand Cherokee 4xe
"I have had Many great Jeeps. Now It’s time for the latest ! Test drove several of the new Wranglers and ordered a 2 door 6 cyl. With a Manual transmission, hard top and towing package. It’ll take some time to get here. Meanwhile I need to sell my 1981 CJ5. I hate to have to do that but…I’m ready. Can’t wait for my NEW Wrangler!",4,04/18/2022,2022 Jeep Wrangler
I have always wanted a Jeep and recently purchased a 2021 80th anniversary in Sarge green. It is just amazing and love driving it. It is so much fun. Yesterday was a nice day and had the two freedom panels off and it was so easy to do and it was awesome to have the roof open. Just can't say enough about how fun it is to drive. Best thing -- it looks great after a car wash and just as good when a bit dirty. ,5,04/158/2021,2022 Jeep Wrangler
"What a complete POS suv, this was horribly made and has so many issues. I've had issues with the entire computer system since the day after leasing the vehicle - Apple CarPlay works only 40% of the time, the computer screen turns black and powers down for no reason at any given moment which becomes problematic when trying to follow directions. Remote start on the key fob only works 50% of time. The passenger side seatbelt gets stuck and it's not related to the safety feature. The car is nice looking but that's about it. This is my 2nd Jeep, and I will NEVER buy or lease a Jeep that's made after 2020. ",1,04/14/2023,2024 Jeep Grand Cherokee L
Jeeps aren’t for everyone but I love driving mine every day ,5,04/085/2023,2022 Jeep Wrangler
